,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,2.8678272219559943e-17,6.647026028771134e-17,2.8678272219559943e-17,6.647026028771135e-17
1,1,1,1,0.0031788849004018,0.0031807176681395,0.0015894424502009,0.0015903588340697,0.0031768350996013,0.0031647099363518,0.0015884175498006754,0.0015823549681759637
2,2,2,2,0.0051310912201915,0.0050355575173265,0.0027699920401977,0.0027387583951553,0.0051061631945082,0.0049206971523847,0.002760999431369853,0.002695135696245545
3,3,3,3,0.0163485963139348,0.0160027790917888,0.006164643108632,0.0060547635693137,0.0163611832020532,0.0160895359972464,0.006161045374040691,0.006043735771495781
4,4,4,4,0.0248250980351614,0.0251715934957662,0.0098967340939379,0.0098781295546042,0.0247548844824504,0.0245982817059784,0.009879813195722639,0.009754644958392306
5,5,5,5,0.035386455739702,0.0358543313890167,0.0141450210348986,0.0142074965270063,0.0351882770647983,0.0344571270336441,0.01409789050723526,0.013871725304267607
6,6,6,6,0.0455262710257715,0.041723003590777,0.0186280567478804,0.0181382832504021,0.0452637528963039,0.0405899746058024,0.018550156562816503,0.017688618061629722
7,7,7,7,0.0549449976311219,0.0463774374940244,0.0231676743582856,0.0216681775308549,0.0546844417342334,0.0456322673316282,0.023066942209243615,0.021181574220379536
8,8,8,8,0.0629768576378328,0.053124491585766,0.027590916944902,0.0251633235369561,0.0624469336203203,0.0513097881394581,0.02744249681047436,0.02452915354472161
9,9,9,9,0.0693786425492955,0.0587750298917935,0.0317696895053413,0.0285244941724399,0.0686892104611281,0.0574747058810823,0.031567168175539735,0.02782370877835768
10,10,10,10,0.0741944278446512,0.064672682363489,0.035626483899824,0.0318106930988989,0.073574127362081,0.0638831494110231,0.03538598264704349,0.03110183974496363
11,11,11,11,0.0802052040199269,0.0683319279733314,0.0393413772431659,0.0348541293384349,0.0795723063749959,0.0675573602596123,0.03906817629103953,0.034139799787851026
12,12,12,12,0.0844644560377122,0.0726982891899536,0.0428123833042849,0.0377652185577825,0.0840204506555938,0.0724891964135729,0.04252604354985139,0.03708975337444501
13,13,13,13,0.0884539615510369,0.0746786894715146,0.0460724960361957,0.0404018950516205,0.087994646506596,0.0739158712784434,0.045773800903904587,0.03972019036758776
14,14,14,14,0.0909166677390296,0.0805701127066268,0.0490621074830513,0.0430797762286209,0.0904775851449881,0.0797038857019228,0.04875405318664349,0.04238577005654343
15,15,15,15,0.0930273203980971,0.0864203086369965,0.0518099332902417,0.0457885595041444,0.0924016429758617,0.0851671378261006,0.05148202754846963,0.04505960554214076
16,16,16,16,0.0963815120736935,0.0903862140022811,0.0544317908657389,0.0484119509452113,0.0958675473834133,0.0890692900845022,0.05409294047993691,0.04764841051522085
17,17,17,17,0.1005709142987142,0.0933777984833004,0.0569950755009042,0.0509100535862162,0.0998996644055568,0.0919716090771327,0.056637758475804684,0.050110810435327065
18,18,18,18,0.1032785994643033,0.0956880225902625,0.0594310504463462,0.0532667887969555,0.102481198466773,0.0942458115142123,0.05905057110690828,0.052433705228952604
19,19,19,19,0.1066932584852364,0.099662856033175,0.0617941608482907,0.0555865921587665,0.1060357797214977,0.0986918607752755,0.06139983153763775,0.05474661300626875
20,20,20,20,0.1103190154275562,0.1025125604165226,0.0641048682092081,0.0578211620758025,0.1093398855920397,0.1008741092976454,0.06368269125451403,0.056943160448715266
21,21,21,21,0.1153087709369708,0.1058962239173147,0.0664323183331973,0.0600063921595076,0.1139353050511482,0.1036361795648285,0.06596690097254286,0.0590655704085386
22,22,22,22,0.1203640773735709,0.108382560789215,0.0687771774219092,0.0621097038390601,0.1186805435634924,0.1051847877357455,0.0682587984764972,0.06107075377059107
23,23,23,23,0.1246265525034718,0.1109709021145496,0.0711042347169743,0.0641455871005388,0.1228239657690855,0.1077524463907356,0.07053234711368837,0.06301582429643042
24,24,24,24,0.1273150303830659,0.1121089002424258,0.073352666543618,0.0660641196262143,0.125046617525506,0.1078671654398564,0.07271291793016109,0.06480987794216747
25,25,25,25,0.1324254296448358,0.1150924355708642,0.0756246958936648,0.0679498240856239,0.1301301457120355,0.1110941556950925,0.07492127284484856,0.06659004247112613
26,26,26,26,0.1371444897707012,0.117932882501554,0.0779032067779995,0.0698010484713991,0.1351209688661006,0.1143749465730027,0.07715089121600605,0.0683598537341586
27,27,27,27,0.1426759589397523,0.1233508680230216,0.080216519355205,0.0717135420268142,0.1407766162600253,0.1203160978061479,0.07942323853900675,0.07021543387958679
28,28,28,28,0.1465481144164326,0.1313277042254794,0.0825038157366266,0.0737692027922854,0.1446176200509403,0.1282449079518952,0.08167132066010789,0.07221645022690777
