,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,2.4458822976300308e-17,6.013197668264558e-17,2.4458822976300308e-17,6.013197668264558e-17
1,1,1,1,0.0050588435170786,0.0060876975040122,0.0025294217585393,0.0030438487520061,0.0050969906547821,0.0063318855808895,0.002548495327391101,0.003165942790444829
2,2,2,2,0.010164742734782,0.0117350889638583,0.0050745287506202,0.0059409288226235,0.010165152026778,0.0118203145833631,0.005087380893853425,0.006050733388084275
3,3,3,3,0.0298588650899127,0.0342254903320636,0.0112706128354433,0.0130120691999835,0.0298735048320968,0.0349834189721992,0.011283911878414293,0.01328390478411302
4,4,4,4,0.0576304551628704,0.066520402448068,0.0205425813009287,0.0237137358496004,0.0574717589728127,0.0673107660612259,0.020521481297293993,0.024089277039535596
5,5,5,5,0.0951452432804945,0.1094767210705607,0.032976358297523,0.0380075667197605,0.0947239872316182,0.1101332451799081,0.03288856561968138,0.03842993839626435
6,6,6,6,0.1091961280189943,0.1164465306588214,0.0438648968291618,0.0492131329967692,0.1089630466385601,0.1170893574836366,0.04375634862237833,0.049666998265888954
7,7,7,7,0.1044731389987984,0.1059767140602988,0.0514409271003663,0.0563085806297104,0.1039816867779222,0.1054074616065084,0.05128451589182132,0.05663455618346639
8,8,8,8,0.0812529157127471,0.0931391930652413,0.0547533702795198,0.0604008709003249,0.08137034231347,0.0951039079330895,0.05462738549422673,0.06090892860009118
9,9,9,9,0.0694928408172656,0.0811284636746788,0.0562273173332943,0.0624736301777603,0.0697183812614314,0.0837155465259376,0.05613648507094719,0.06318959039267583
10,10,10,10,0.1051740159122086,0.1140143428181508,0.0606770172041047,0.0671591495087049,0.1049180728331728,0.114563294808979,0.06057117486751316,0.0678599271577943
11,11,11,11,0.1106851853402056,0.1208413402241533,0.0648443645487798,0.0716326654016589,0.110335841540226,0.1222357895934746,0.06471823042357257,0.07239124902743434
12,12,12,12,0.0983734114897967,0.1157623143455017,0.0674235220057811,0.0750272537819545,0.0986316244300497,0.1190819856862978,0.06732695303945542,0.07598284415503921
13,13,13,13,0.0867225405549268,0.1135827812855453,0.0688020233307201,0.077781220032211,0.0879368303222193,0.1201340513709076,0.06879908713108142,0.07913650181331554
14,14,14,14,0.1249686653382895,0.1375220593477061,0.0725464661312247,0.081763942653244,0.1260786629878954,0.1433796527333183,0.07261772552153568,0.08341937854131572
15,15,15,15,0.2085241325558647,0.2234743121496047,0.0810450702827647,0.0906208407467666,0.2090861228567958,0.2272249465337154,0.08114700035498944,0.0924072265408407
16,16,16,16,0.2184520026533171,0.234857654441836,0.0891278310104443,0.0991053591994177,0.2196979487895632,0.2416811318504594,0.08929705614525849,0.10118804450023004
17,17,17,17,0.2077313193372122,0.2251081501497136,0.0957169136952647,0.1061055142522119,0.2095605531973711,0.2350859999893358,0.09597836153704252,0.10862681980518035
18,18,18,18,0.1746436797895186,0.202352303052684,0.0998709540160149,0.1111711347153947,0.1761304618750203,0.2112935787136407,0.10019689313377819,0.11403033343194142
19,19,19,19,0.1511816692819243,0.184719703764297,0.1024364897793104,0.1148485631678398,0.152178356824209,0.1920213054614667,0.10279596631829975,0.1179298820334177
20,20,20,20,0.1818133475520988,0.2165607634714145,0.1062163401494431,0.1196920012775338,0.1814503245621317,0.2182467261220125,0.10654141194895841,0.12270687460906507
21,21,21,21,0.1900623508041125,0.2205134303415853,0.1100275224519281,0.124274793507718,0.1892816100687133,0.2207554318046305,0.1103023300453109,0.12716362720886348
22,22,22,22,0.1845850712110891,0.2204375059668486,0.1132691550066743,0.128455781005941,0.1840455306061659,0.2223774132540965,0.11350855615665242,0.1313033570369171
23,23,23,23,0.1808381367716153,0.2242077385146306,0.1160845292468801,0.1324454459021364,0.1806986969145027,0.2300741880101325,0.11630814535489618,0.13541880832746775
24,24,24,24,0.2171010672362893,0.2535781348308825,0.1201251907664565,0.1372907534592863,0.2180772687257771,0.2699738729084358,0.12037891028973143,0.14080101091070646
25,25,25,25,0.30551811832823,0.3289591044785569,0.1272556879803709,0.1446626131138736,0.305794722233421,0.3427733579535726,0.12751028767218103,0.14856917810466286
26,26,26,26,0.3135106556789485,0.3383647143271898,0.1341540201173552,0.1518367650106631,0.3140743663093999,0.3530682497441094,0.13442006836244838,0.15614321779501275
27,27,27,27,0.3069571480628895,0.3308869772725669,0.1403255604011243,0.1582314154485882,0.3073949131628386,0.3478844905908762,0.14059774139103376,0.16299112039486502
28,28,28,28,0.2850734774649297,0.3179747761698993,0.1453168678860831,0.163739807197599,0.2853003777161496,0.3371991587218134,0.14558748747121017,0.16899829413027703
29,29,29,29,0.2617862910980082,0.3196662831324838,0.1491991819931473,0.1689373563954284,0.2619546266979319,0.3383293427087477,0.1494663921121009,0.17464266241622603
30,30,30,30,0.2795277644245452,0.3506545047233058,0.1534033298135149,0.1747991998898761,0.2778393118492804,0.3571849416693337,0.1536074540391067,0.18053112303729404
31,31,31,31,0.2866674138775276,0.3515865837164511,0.1575678324405153,0.1803238056344566,0.2844460538920066,0.3550866253054517,0.1576961602845098,0.18598598248317397
32,32,32,32,0.2877544864502118,0.3578081446450201,0.1615128825620213,0.185702118937807,0.2866254310391743,0.368412612826721,0.161603107883136,0.1915140621905542
33,33,33,33,0.2995879629891203,0.3681825891081455,0.1655739143392889,0.1910691915898758,0.2993885113898746,0.3857952914259887,0.16565561975098125,0.19722821599159637
34,34,34,34,0.3447306119539819,0.3965314862265151,0.1706926771282801,0.1969395428652083,0.3455826482525231,0.4247659449950119,0.17079639199388244,0.20372929396312253
