,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,2.1434651248737898e-17,5.739318808993475e-17,2.1434651248737898e-17,5.739318808993475e-17
1,1,1,1,5.639342074911792e-18,2.7513408848189066e-17,2.819671037455896e-18,1.3756704424094533e-17,2.1307412111199058e-17,5.964323072968532e-17,2.1371031679968478e-17,5.851820940981003e-17
2,2,2,2,0.0134113591774485,0.0175988109660424,0.0044704530591495,0.0058662703220141,0.0134707605116507,0.0180193126673736,0.004490253503883592,0.006006437555791264
3,3,3,3,0.021065233762037,0.0316975609137406,0.0086191482348714,0.0123240929699457,0.0209997978006627,0.0313741670225289,0.008617639578078389,0.012348369922475693
4,4,4,4,0.0296942954136209,0.0447582883567519,0.0128341776706213,0.018810932047307,0.0294751828104138,0.043942190795269,0.012789148224545483,0.018667134097034365
5,5,5,5,0.0388090462190302,0.0570633517335951,0.0171633224286894,0.025186335328355,0.0384386629243839,0.0556935853413487,0.017064067341185228,0.02483820930442009
6,6,6,6,0.0467565069837992,0.0667794922423075,0.0213909202222765,0.0311282148874911,0.0465604346253514,0.0663534828931307,0.02127783409606612,0.030768962674235897
7,7,7,7,0.0530477659977102,0.0734693018058112,0.0253480259442057,0.0364208507522811,0.0533335509721075,0.076200447018918,0.025284798705571293,0.03644789821732116
8,8,8,8,0.0602916742884191,0.0844225308361869,0.0292306535380072,0.0417543707616039,0.0605359594932997,0.0873614371635391,0.02920159434865223,0.04210495810023427
9,9,9,9,0.0670143328453814,0.095919938692515,0.0330090214687446,0.0471709275546951,0.0670798394131347,0.0990395508698964,0.03298941885510048,0.04779841737720049
10,10,10,10,0.0732815994463304,0.1098360484359389,0.0366701649212524,0.0528677567257172,0.0727301788902904,0.1103969885670366,0.036602215221935935,0.053489196576276495
11,11,11,11,0.0815283256943882,0.1233453941202943,0.0404083449856804,0.0587408931752653,0.0807373150516241,0.1219116619100834,0.04028014020774328,0.05919106868742707
12,12,12,12,0.0875479971598889,0.1369285708587721,0.0440344720760042,0.0647553299201504,0.0859880017324797,0.1329668487939921,0.04379612955579993,0.06486612869562439
13,13,13,13,0.0952340809201312,0.1487053792341316,0.0476915869934418,0.0707517620140062,0.0934242664410202,0.1440297587187153,0.047340996476172806,0.07052067369727373
14,14,14,14,0.1026235765543439,0.1618226942735488,0.0513537196308353,0.0768231574979757,0.1003022893243527,0.1557880308851572,0.05087174933271813,0.07620516417646597
15,15,15,15,0.1116729742112767,0.1737885251440532,0.0551236730421129,0.0828834929758556,0.1092833808173146,0.1665469152120392,0.05452247630050541,0.08185152361618929
16,16,16,16,0.1181877515416215,0.183169248066033,0.0588333247185546,0.0887826550399837,0.1160967551029475,0.1792851315545945,0.05814449270064907,0.08758291231844842
17,17,17,17,0.1256706475705845,0.1908430667873823,0.0625465093214451,0.0944526779148391,0.124140662360381,0.1921250581078119,0.06181094657063418,0.0933908093067464
18,18,18,18,0.134955447636077,0.2066477427879801,0.0663575060748468,0.100357681329215,0.1322160434492139,0.2018171978260739,0.06551647798529626,0.09909746133407941
19,19,19,19,0.1426643691530775,0.2174803059274501,0.0701728492287583,0.1062138125591267,0.1401453535898061,0.2152009110492925,0.06924792176552177,0.10490263381984008
20,20,20,20,0.1494692847470035,0.2267250054604133,0.0739488699677224,0.1119524407925213,0.1477194951614188,0.2292874644423856,0.07298466335580259,0.11082572099234225
21,21,21,21,0.1568477562421539,0.2355589157408179,0.0777170011620147,0.1175709169265348,0.1557325882647553,0.2438775711142392,0.07674593266984589,0.1168735323615194
22,22,22,22,0.1663138481158752,0.2497651115969201,0.0815690379860956,0.1233184906078559,0.1641865734867258,0.2520122730775256,0.08054769966188415,0.12274912978395446
23,23,23,23,0.1726357494963462,0.2577250341774053,0.0853634842990227,0.1289187632565871,0.1711846056596859,0.2659858350543147,0.08432423741179255,0.12871732583688614
24,24,24,24,0.1808789676522962,0.2678560962168905,0.0891841036331537,0.1344762565749993,0.1794401861738338,0.2795053760081788,0.08812887536227419,0.13474884784373783
25,25,25,25,0.1895048343213529,0.2796128452026745,0.0930425932750075,0.1400584330606791,0.187952932530904,0.2902242814153499,0.09196826217645228,0.14072867221187677
26,26,26,26,0.1954045224776365,0.2875195314893567,0.0968337758380678,0.1455199552247042,0.1952664220066861,0.3094725612376349,0.09579411994794242,0.14697844587949743
27,27,27,27,0.2034000048414143,0.2980613730820106,0.1006397125881873,0.1509678630053223,0.2043509391228728,0.3305363826421498,0.09967114920418994,0.15353408647816358
28,28,28,28,0.2120234769268805,0.3151178048711977,0.1044805320481423,0.1566282058282835,0.2111375696971101,0.3369766083759564,0.1035148188763596,0.15985969068153574
29,29,29,29,0.2193131008466705,0.33197259149342,0.1083082843414266,0.162473018683788,0.215466820442536,0.339799466089544,0.10724655226189882,0.16585768319513602
30,30,30,30,0.2257719513999394,0.3441680618553905,0.1120974348917012,0.1683341491086784,0.2219473821946821,0.352426299324075,0.11094657903392409,0.17187602565090826
31,31,31,31,0.2341266810908743,0.3582480593945841,0.1159108488354253,0.174268958805113,0.2290507312129781,0.3596734003220456,0.11463733378951953,0.1777446936093813
32,32,32,32,0.2404629260045364,0.3681101785675916,0.1196851542041863,0.1801429351615517,0.2359077726856723,0.3715791797877285,0.11831219557425143,0.18361846591781605
33,33,33,33,0.2479239527604078,0.3757737374159695,0.1234568835734869,0.1858967822866817,0.2454022599268533,0.3966908298915702,0.12205013864344562,0.18988530015233823
34,34,34,34,0.2533503279824807,0.3870839561837615,0.1271681248423153,0.1916449872551697,0.2501528973302694,0.4036714066927439,0.12571021746306915,0.19599347462492125
