,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,2.1002822868046238e-17,5.644245375268431e-17,2.100282286804624e-17,5.644245375268431e-17
1,1,1,1,0.0031952777673441,0.0029915696925331,0.001597638883672,0.0014957848462665,0.0031954180013327,0.0030018311436957,0.0015977090006664093,0.0015009155718479108
2,2,2,2,0.0053087789173376,0.0052383130757533,0.0028346855615606,0.0027432942560954,0.0053303515195653,0.005292875631461,0.0028419231736327155,0.0027649022583856133
3,3,3,3,0.007452345704477,0.007432751634184,0.0039891005972897,0.0039156586006176,0.0074604061142768,0.0075519055869531,0.003996543908793759,0.003961653090527496
4,4,4,4,0.0809858708979888,0.0848643022281951,0.0193884546574295,0.0201053873261331,0.0812003108225658,0.0854353639040374,0.019437297291548184,0.020256395253229482
5,5,5,5,0.8425373067402956,0.8963951886056241,0.1565799300045738,0.1661536875393816,0.8458983498591521,0.906875057811907,0.1571808060528155,0.1680261723463424
6,6,6,6,0.8670736792567639,0.8954090431434898,0.258079037040601,0.2703330240542542,0.872416813775709,0.9192739628404132,0.25935737858465746,0.27534728527406677
7,7,7,7,0.8751374637823226,0.8977195572181937,0.3352113403833162,0.3487563406997466,0.8793346310873076,0.9175720991194112,0.33685453514748875,0.35562538700473484
8,8,8,8,0.8776679659185305,0.8948969785898329,0.3954842987761178,0.4094386337986451,0.8879453759085867,0.9336786226451698,0.39808685078761075,0.4198535242981165
9,9,9,9,0.9230598817395084,0.912166197978441,0.4482418570724569,0.4597113902166246,0.9302239547147876,0.9389314270859116,0.4513005611803284,0.47176131457689596
10,10,10,10,2.430330832119588,1.5943392095764564,0.6284317638949234,0.5628593737947912,2.434363580869129,1.6137335921559393,0.6315790175156739,0.5755769761749908
11,11,11,11,2.449333432891436,1.6026084990773974,0.7801735696446327,0.6495051342350083,2.453204797622975,1.6235513085153364,0.783381165857949,0.6629081705366863
12,12,12,12,2.4554707313993585,1.6055865159210934,0.909042582087304,0.7230498559031688,2.459700751043956,1.6226919049995716,0.9123288262568726,0.7367376885722928
13,13,13,13,2.46572142422076,1.6103863574883883,1.0202339279539794,0.7864310345878273,2.4698423576871926,1.63342805778528,1.0235797927876098,0.8007870006589347
14,14,14,14,2.646443930371188,1.6997115610593485,1.1286479281151265,0.847316403019262,2.6493350688751254,1.7163874785521616,1.1319634778601109,0.8618270325184831
15,15,15,15,4.862755493896521,2.4541271350519422,1.3620296509764638,0.9477420737713046,4.841854712639452,2.435823887108868,1.3638316800338197,0.9602018359303821
16,16,16,16,4.888460285347071,2.459336341949584,1.5694667471159112,1.036659383664145,4.866283203162578,2.4321963645887648,1.5698582402178642,1.0467897493808753
17,17,17,17,4.897736097586306,2.459440158078169,1.754370599919822,1.1157027600204794,4.869816793892854,2.420617578220073,1.753189270977586,1.1231135176497196
18,18,18,18,4.913064318270586,2.46403329884789,1.920617637727757,1.186667525221922,4.888138702731742,2.42638881557792,1.9181866094909628,1.1917069543827827
19,19,19,19,5.147886556804138,2.544219785163386,2.081981083681576,1.2545451382189952,5.121242580337121,2.5061520331559395,2.0783394080332704,1.2574292083214407
20,20,20,20,7.521198123119591,3.441322215437157,2.34099141889291,1.3586773799912888,7.471619047467055,3.378332471992165,2.335162248006308,1.3584246018295705
21,21,21,21,7.547444287015517,3.4457958799661736,2.577648367443938,1.45354640271742,7.484856048433425,3.370891379297777,2.5692392389348133,1.4499003644417616
22,22,22,22,7.555954882594444,3.446808424276945,2.794096476798308,1.5402099688721818,7.485204514588278,3.355280595534013,2.782976859615399,1.532742983184903
23,23,23,23,7.570986362284836,3.451726304429472,2.9931335553602465,1.6198564828537354,7.490171571011882,3.3569537722180978,2.9791099725902526,1.6087517660612862
24,24,24,24,7.805607536385656,3.5431809862266235,3.1856325146012625,1.696789462988651,7.721939491320784,3.448551659200341,3.1688231533394737,1.6823437617868484
25,25,25,25,10.159851430054651,4.531146991996478,3.4538717036571622,1.8058032141043368,10.028905090611824,4.371022464982515,3.4326724586191797,1.785754481140528
26,26,26,26,10.186201045868552,4.536174266436255,3.703217234850177,1.906928067894408,10.024343631789804,4.337145002905011,3.6768084279958693,1.8802504263910644
27,27,27,27,10.194067498757624,4.537531787620509,3.9350333157040143,2.0008782007417687,10.005644104907285,4.3065362855998,3.9028382735998486,1.9669034927913762
28,28,28,28,10.209201179024811,4.5430489348454834,4.151383931680593,2.0885392605384485,10.01863555791278,4.312156567166404,4.1137278351278805,2.0477742884594807
29,29,29,29,10.447596067508984,4.637203218688075,4.361257669541541,2.1734947258101025,10.24803800293531,4.389795398543113,4.318204840721462,2.125841658795602
30,30,30,30,12.854750957273213,5.625943382515881,4.635241323984498,2.2848640373167406,12.601511704997003,5.2967384419504535,4.585408287956157,2.2281286518005974
31,31,31,31,12.88149302862393,5.630336823426176,4.89293668975448,2.3894100618826606,12.617695369748096,5.300836245695465,4.836417259262155,2.324150764109812
32,32,32,32,12.8900061618148,5.634319492962026,5.135272128301763,2.487740650703248,12.629352795942156,5.330844524240153,5.0725668209797306,2.4152626962349735
33,33,33,33,12.903101504829149,5.638644721859763,5.3637376981996265,2.5804142998549096,12.649359035353951,5.34438041623782,5.295413650814267,2.5014132174115282
34,34,34,34,13.136294733462492,5.742054942901922,5.585810756349994,2.6707468896562525,12.873881317054286,5.437107523455951,5.511941298421125,2.585290197584226
