Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9,Derivative_10
137.104599609375,-14.732530050107425,40.78975442862617,-121.79445910926528,583.0032048973738,-3077.2048179607536,13409.15363096174,-43401.79535084676,81041.53484989886,124968.94142456312,-2021952.9835783043
131.6848046875,0.2731820146159379,-4.015923126268421,92.68043410954044,-549.0371839040982,1855.7471263794657,-2557.4745885450748,-13588.280798590069,127015.03918495377,-618865.9922491434,2233692.0656301137
131.785302734375,-1.204193540863161,30.079303181476,-109.29905828744157,133.6540319038897,914.9048039353398,-7556.323735211031,33137.94083713947,-100653.03620367084,202863.39660393595,-243444.2866640303
131.3423046875,9.861363704364619,-10.129573301872906,-60.13048772032853,470.2286999006905,-1864.9113490845984,4634.443421528158,-3890.241873675831,-26023.76322687435,113305.24846959334,340886.23084806366
134.97009765624998,6.134901938766451,-32.25034352179364,112.85698362191131,-215.83384503483228,-159.99489303215367,3203.3034150185476,-13463.849346756277,15658.908261910985,238710.2845770165,-2739126.320871228
137.22700195312498,-5.72933641361804,9.26742054532971,33.45614932461355,-274.6926768737857,1018.4345771874418,-1749.7699586826418,-7703.258926009596,103475.51435397961,-768957.9756430654,5078477.880224038
135.11929687499997,-2.3200429223014027,21.57525006261687,-67.59763913760227,99.96846625160464,374.7301826086942,-4583.640547581977,30363.2554694599,-179408.31600991433,1099309.6289352581,-7165071.442537335
134.26580078125,5.617048013868218,-3.2925316478330724,-30.821295638195778,237.82399641976363,-1311.4969405665267,6586.376906668673,-35637.37556577677,225005.09595717327,-1536572.8492987994,10268501.741113551
136.33219726562498,4.4057933112241,-14.631052663392348,56.669263261865936,-244.64876517390664,1111.4957152032362,-6523.880901286102,47137.3733956747,-340268.4651620789,2240997.8328899825,-13418873.148586284
137.95299804687497,-0.9766701663346211,6.21640423698024,-33.331987753594234,164.24765739951258,-1288.505945030939,10816.989681804327,-78040.39941641499,484148.5652678997,-2695529.7221623426,14146083.154765787
137.59370117187498,1.3102171504614561,-6.045748790945367,27.09134866425694,-309.7671896045506,2690.8421742684923,-17892.46884430258,100067.90421829512,-507481.4025821942,2508523.4435775755,-12824716.332144128
138.075703125,-0.9138895362144488,3.9206014162421776,-86.86563194071331,680.1383257458913,-3891.42926535098,18920.455838721256,-86624.0705685418,415352.80000658473,-2209426.033873809,12614491.569615712
137.73950195312497,0.5284191218486891,-28.035478719111627,163.34327525396552,-751.4384977496239,3069.0174553067454,-12946.758834029497,66175.68538687409,-397449.6146445468,2431186.0754182236,-13923965.821525816
137.93389648437497,-9.785257122311961,32.055154100430286,-113.09549937287416,377.5899286540237,-1693.8289495374574,11397.915325230932,-80037.85674236657,496933.7601640996,-2691154.6898948834,12841339.000344237
134.33410156249997,2.007175054818802,-9.550355007867864,25.81207257233282,-245.53491874182743,2499.229770827914,-18046.36668571085,102773.85724602554,-493086.72326033446,2032909.9254447352,-7006613.82197743
135.0725,-1.5062042084645142,-0.05462417448135255,-64.51517612248612,673.8803327093775,-4139.657520686324,19762.022484990626,-78622.61095604353,254779.04406415176,-544679.2518883892,-573115.5187463746
134.51839843749997,-1.5262993192471654,-23.788431113498724,183.39154409106524,-849.0145626418661,3130.384267509501,-9161.619696958398,15105.36139647069,54402.74526177225,-755516.6686514838,5138999.251732755
133.95690429687497,-10.27757406362643,43.67754764229028,-128.94345876004087,302.58945234140424,-239.98726683283147,-3604.667787732082,35119.01292156375,-223536.30459744483,1135015.5042563959,-4507434.871223102
130.17599609374997,5.790497754758369,-3.758099909066476,-17.62702012831233,214.30307073068036,-1566.0704381924083,9314.895060345458,-47115.39789527338,194012.5648293201,-523177.11728580756,-678540.3359633854
132.306201171875,4.407970060344545,-10.242718223387783,61.21067377341441,-361.8220469066587,1860.6879511781053,-8017.891187937871,24257.836034374955,1546.4592885314269,-772798.156892297,8021561.960880209
133.92780273437498,0.6398846042480986,12.275430238103372,-71.89621864611455,322.6867967671787,-1088.9293784139088,906.0679764164674,24826.74661323428,-282750.09480732685,2178169.5745983715,-14244900.032244356
134.16320312499997,5.1557630203805935,-14.173710499769081,46.8136198219979,-77.9079344388962,-755.6055975864795,10039.317646598096,-79191.20025565723,518553.7110725588,-3062236.288806669,16766460.797636196
136.05990234374997,-0.0584536776002619,3.048057799559859,18.1528924377954,-355.87969942502406,2937.6529679866258,-19093.496849148873,111574.04919109284,-607980.0635885479,3105799.939850543,-14809335.53171126
136.03839843749998,1.0628641223600754,9.726133725221331,-112.76793251094327,724.822432793525,-4086.451982886953,21952.302016505393,-112089.31684523959,534579.882673967,-2342250.1396757024,9155621.440101482
136.429404296875,4.640908761953218,-31.7588702689634,153.87933901366392,-778.4992390448599,3989.348615371773,-19283.053225810098,84571.63165435416,-327085.7897936615,1025914.759286059,-1598672.498401105
138.13669921874998,-7.042526684829373,24.85017497521421,-132.51452599855213,689.1001002161754,-3104.4902294184208,11829.111366150784,-35756.50591005761,50327.158542027944,437796.0139581153,-5791125.467123184
135.54589843749997,2.0993417980649918,-23.89919479623172,120.99123378015928,-452.9780305044762,1247.196649515884,-1324.9720462845883,-17242.178949869827,211383.31150402405,-1692639.9866408396,11259480.396003509
136.31820312499997,-6.6926806280201765,20.61099267345661,-45.65007094476792,5.839975950322549,759.7666735609276,-7668.015202940709,60521.395559199285,-411304.1408858444,2449491.369321683,-13009435.996018035
133.856103515625,0.8896798386797354,3.817270084858694,-43.5016638557086,285.3425152406023,-2061.138474191023,14596.561974293343,-90788.94194138501,489813.3752144856,-2336412.67484901,10135646.230302624
134.1833984375,2.2939750242980166,-12.186097704407317,61.46998119345791,-472.9079548217506,3308.636587936334,-18802.82325164991,89403.32881081755,-369704.81395484135,1392283.1962661026,-5114948.243984231
135.0273046875,-2.1890397892599442,10.427444625861048,-112.50313295189734,744.2714241876558,-3608.5355223260326,14086.823390140373,-46603.47154528122,142487.5502399211,-489401.1053516396,2268247.3744589477
134.222001953125,1.6470027125479787,-30.960145054519423,161.29902265813092,-583.2346072129441,1573.7171943196076,-3057.6356785869034,5814.76881086865,-37553.054905525896,345040.47120289755,-2442699.7798824855
134.827900390625,-9.742598148695421,28.378449262453593,-53.26099871521253,-4.2964052047566055,448.8758895751943,-918.5017779034115,-8000.228042056678,89380.24082212696,-553578.5587698637,2823486.1791499043
131.243798828125,0.6972499072881376,8.784822818868301,-54.841557860984466,160.83580620749996,110.97796880511126,-3861.6211992593253,24880.92500335625,-114269.93002262255,485123.95897107926,-2513892.1566804084
131.50030273437497,3.929005616683544,-11.390258840001982,4.326628646989,201.66231935386608,-1309.6330799942034,5291.559586803942,-17156.63299606586,64197.20090253547,-439685.2827937683,3918238.956935493
132.945703125,-0.26123644017446745,-9.798581111191316,78.51404999622616,-280.1247662540364,637.022903724618,-1020.0129721722964,6460.197396729649,-97553.97522294328,1001754.2750598156,-7675649.651909474
132.849599609375,-3.8659329836325798,19.085123725527048,-24.538092471589618,-45.777136418414386,261.78110153425183,1356.5608359938142,-29427.904492339374,270970.8276771643,-1821959.4295123778,10030119.884844841
