Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9
28901.80078125,6.30078125,32.791015625,-75.71875,49.830078125,345.66015625,262.62109375,436.30078125,348.470703125,262.830078125
29131.94921875,230.1484375,236.44921875,262.939453125,154.4296875,279.978515625,575.80859375,492.76953125,666.44921875,578.619140625
29313.310546875,181.361328125,411.509765625,417.810546875,444.30078125,335.791015625,461.33984375,757.169921875,674.130859375,847.810546875
29269.05078125,-44.259765625,137.1015625,367.25,373.55078125,400.041015625,291.53125,417.080078125,712.91015625,629.87109375
29263.630859375,-5.419921875,-49.6796875,131.681640625,361.830078125,368.130859375,394.62109375,286.111328125,411.66015625,707.490234375
29111.01953125,-152.611328125,-158.03125,-202.291015625,-20.9296875,209.21875,215.51953125,242.009765625,133.5,259.048828125
29230.390625,119.37109375,-33.240234375,-38.66015625,-82.919921875,98.44140625,328.58984375,334.890625,361.380859375,252.87109375
28542.490234375,-687.900390625,-568.529296875,-721.140625,-726.560546875,-770.8203125,-589.458984375,-359.310546875,-353.009765625,-326.51953125
28594.279296875,51.7890625,-636.111328125,-516.740234375,-669.3515625,-674.771484375,-719.03125,-537.669921875,-307.521484375,-301.220703125
28820.529296875,226.25,278.0390625,-409.861328125,-290.490234375,-443.1015625,-448.521484375,-492.78125,-311.419921875,-81.271484375
28640.16015625,-180.369140625,45.880859375,97.669921875,-590.23046875,-470.859375,-623.470703125,-628.890625,-673.150390625,-491.7890625
28813.0390625,172.87890625,-7.490234375,218.759765625,270.548828125,-417.3515625,-297.98046875,-450.591796875,-456.01171875,-500.271484375
28319.650390625,-493.388671875,-320.509765625,-500.87890625,-274.62890625,-222.83984375,-910.740234375,-791.369140625,-943.98046875,-949.400390625
28696.740234375,377.08984375,-116.298828125,56.580078125,-123.7890625,102.4609375,154.25,-533.650390625,-414.279296875,-566.890625
29048.73046875,351.990234375,729.080078125,235.69140625,408.5703125,228.201171875,454.451171875,506.240234375,-181.66015625,-62.2890625
29388.580078125,339.849609375,691.83984375,1068.9296875,575.541015625,748.419921875,568.05078125,794.30078125,846.08984375,158.189453125
29286.919921875,-101.66015625,238.189453125,590.1796875,967.26953125,473.880859375,646.759765625,466.390625,692.640625,744.4296875
28995.66015625,-291.259765625,-392.919921875,-53.0703125,298.919921875,676.009765625,182.62109375,355.5,175.130859375,401.380859375
29390.7109375,395.05078125,103.791015625,2.130859375,341.98046875,693.970703125,1071.060546875,577.671875,750.55078125,570.181640625
29406.75,16.0390625,411.08984375,119.830078125,18.169921875,358.01953125,710.009765625,1087.099609375,593.7109375,766.58984375
29436.029296875,29.279296875,45.318359375,440.369140625,149.109375,47.44921875,387.298828125,739.2890625,1116.37890625,622.990234375
29440.470703125,4.44140625,33.720703125,49.759765625,444.810546875,153.55078125,51.890625,391.740234375,743.73046875,1120.8203125
29282.779296875,-157.69140625,-153.25,-123.970703125,-107.931640625,287.119140625,-4.140625,-105.80078125,234.048828125,586.0390625
29312.69921875,29.919921875,-127.771484375,-123.330078125,-94.05078125,-78.01171875,317.0390625,25.779296875,-75.880859375,263.96875
29296.25,-16.44921875,13.470703125,-144.220703125,-139.779296875,-110.5,-94.4609375,300.58984375,9.330078125,-92.330078125
29146.529296875,-149.720703125,-166.169921875,-136.25,-293.94140625,-289.5,-260.220703125,-244.181640625,150.869140625,-140.390625
28402.9296875,-743.599609375,-893.3203125,-909.76953125,-879.849609375,-1037.541015625,-1033.099609375,-1003.8203125,-987.78125,-592.73046875
28037.650390625,-365.279296875,-1108.87890625,-1258.599609375,-1275.048828125,-1245.12890625,-1402.8203125,-1398.37890625,-1369.099609375,-1353.060546875
27159.4609375,-878.189453125,-1243.46875,-1987.068359375,-2136.7890625,-2153.23828125,-2123.318359375,-2281.009765625,-2276.568359375,-2247.2890625
26526.0,-633.4609375,-1511.650390625,-1876.9296875,-2620.529296875,-2770.25,-2786.69921875,-2756.779296875,-2914.470703125,-2910.029296875
25270.830078125,-1255.169921875,-1888.630859375,-2766.8203125,-3132.099609375,-3875.69921875,-4025.419921875,-4041.869140625,-4011.94921875,-4169.640625
25590.509765625,319.6796875,-935.490234375,-1568.951171875,-2447.140625,-2812.419921875,-3556.01953125,-3705.740234375,-3722.189453125,-3692.26953125
26762.470703125,1171.9609375,1491.640625,236.470703125,-396.990234375,-1275.1796875,-1640.458984375,-2384.05859375,-2533.779296875,-2550.228515625
26383.6796875,-378.791015625,793.169921875,1112.849609375,-142.3203125,-775.78125,-1653.970703125,-2019.25,-2762.849609375,-2912.5703125
26671.919921875,288.240234375,-90.55078125,1081.41015625,1401.08984375,145.919921875,-487.541015625,-1365.73046875,-1731.009765625,-2474.609375
25457.2109375,-1214.708984375,-926.46875,-1305.259765625,-133.298828125,186.380859375,-1068.7890625,-1702.25,-2580.439453125,-2945.71875
24992.359375,-464.8515625,-1679.560546875,-1391.3203125,-1770.111328125,-598.150390625,-278.470703125,-1533.640625,-2167.1015625,-3045.291015625
24453.0,-539.359375,-1004.2109375,-2218.919921875,-1930.6796875,-2309.470703125,-1137.509765625,-817.830078125,-2073.0,-2706.4609375
24604.630859375,151.630859375,-387.728515625,-852.580078125,-2067.2890625,-1779.048828125,-2157.83984375,-985.87890625,-666.19921875,-1921.369140625
22184.7109375,-2419.919921875,-2268.2890625,-2807.6484375,-3272.5,-4487.208984375,-4198.96875,-4577.759765625,-3405.798828125,-3086.119140625
21973.8203125,-210.890625,-2630.810546875,-2479.1796875,-3018.5390625,-3483.390625,-4698.099609375,-4409.859375,-4788.650390625,-3616.689453125
20917.529296875,-1056.291015625,-1267.181640625,-3687.1015625,-3535.470703125,-4074.830078125,-4539.681640625,-5754.390625,-5466.150390625,-5844.94140625
20487.05078125,-430.478515625,-1486.76953125,-1697.66015625,-4117.580078125,-3965.94921875,-4505.30859375,-4970.16015625,-6184.869140625,-5896.62890625
20188.689453125,-298.361328125,-728.83984375,-1785.130859375,-1996.021484375,-4415.94140625,-4264.310546875,-4803.669921875,-5268.521484375,-6483.23046875
19830.009765625,-358.6796875,-657.041015625,-1087.51953125,-2143.810546875,-2354.701171875,-4774.62109375,-4622.990234375,-5162.349609375,-5627.201171875
20253.150390625,423.140625,64.4609375,-233.900390625,-664.37890625,-1720.669921875,-1931.560546875,-4351.48046875,-4199.849609375,-4739.208984375
19028.359375,-1224.791015625,-801.650390625,-1160.330078125,-1458.69140625,-1889.169921875,-2945.4609375,-3156.3515625,-5576.271484375,-5424.640625
19722.189453125,693.830078125,-530.9609375,-107.8203125,-466.5,-764.861328125,-1195.33984375,-2251.630859375,-2462.521484375,-4882.44140625
21050.33984375,1328.150390625,2021.98046875,797.189453125,1220.330078125,861.650390625,563.2890625,132.810546875,-923.48046875,-1134.37109375
21468.380859375,418.041015625,1746.19140625,2440.021484375,1215.23046875,1638.37109375,1279.69140625,981.330078125,550.8515625,-505.439453125
21898.470703125,430.08984375,848.130859375,2176.28125,2870.111328125,1645.3203125,2068.4609375,1709.78125,1411.419921875,980.94140625
21678.220703125,-220.25,209.83984375,627.880859375,1956.03125,2649.861328125,1425.0703125,1848.2109375,1489.53125,1191.169921875
22208.419921875,530.19921875,309.94921875,740.0390625,1158.080078125,2486.23046875,3180.060546875,1955.26953125,2378.41015625,2019.73046875
21227.380859375,-981.0390625,-450.83984375,-671.08984375,-241.0,177.041015625,1505.19140625,2199.021484375,974.23046875,1397.37109375
20819.4609375,-407.919921875,-1388.958984375,-858.759765625,-1079.009765625,-648.919921875,-230.87890625,1097.271484375,1791.1015625,566.310546875
21285.9296875,466.46875,58.548828125,-922.490234375,-392.291015625,-612.541015625,-182.451171875,235.58984375,1563.740234375,2257.5703125
21693.630859375,407.701171875,874.169921875,466.25,-514.7890625,15.41015625,-204.83984375,225.25,643.291015625,1971.44140625
23537.439453125,1843.80859375,2251.509765625,2717.978515625,2310.05859375,1329.01953125,1859.21875,1638.96875,2069.05859375,2487.099609375
