Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9,Derivative_10
1267.6500244140625,-2.0126668294270833,-0.10934461805555555,-0.007098515263310185,-0.0003717286663290894,1.4926747765560696e-05,8.436615869341563e-07,1.3366537351394606e-07,1.0445090574274121e-08,5.194996517557189e-10,1.7939493560829777e-11
1257.93994140625,-2.890336100260417,-0.1148555501302083,-0.008583333333333333,4.5222228250385926e-05,2.1283737622170735e-06,1.4894249265903632e-06,1.4870427414659072e-07,7.1150463111806515e-09,1.4799297875228628e-10,1.855985981319551e-13
1239.93994140625,-2.95533447265625,-0.1519887966579861,-0.001939629448784722,-0.00014761766975308628,9.58190666795267e-06,1.91397978019976e-06,9.927349465592139e-08,1.0743301966044623e-09,-1.046058295467535e-10,-3.5230314134632888e-12
1241.22998046875,-3.7929972330729167,-0.0745888943142361,-0.004394449869791666,-0.00011493809076003076,1.9069568021797834e-05,1.3040887024176955e-06,7.129821637802955e-09,-2.6273711893075554e-09,-1.6129295575099704e-10,-1.086045672046468e-11
1234.1800537109375,-3.3710001627604167,-0.08948893229166664,-0.005687405056423611,6.171618803047856e-05,1.3520995089056064e-05,-1.7297982842506904e-08,-5.063601032914663e-08,-3.7181677612620987e-09,-2.643455594909789e-10,-5.004225833629699e-12
1241.4100341796875,-2.9699991861979167,-0.1281777615017361,-0.003071483470775462,3.9592526282793295e-05,-4.511110910172329e-06,-9.759261938443073e-07,-7.35372437807213e-08,-5.4143441491983894e-09,-1.7363215386731252e-10,-1.6585434268242793e-11
1253.800048828125,-3.2836669921875,-0.10441121419270831,-0.002892225477430556,-0.0002007036373939042,-2.045721611368313e-05,-1.4506300100737314e-06,-1.0683975533693416e-07,-4.048003755024958e-09,-3.6937806146365196e-10,-2.656687413968431e-11
1261.8900146484375,-3.3186686197916666,-0.11266669379340279,-0.006285924840856481,-0.00044046947337962947,-3.0079807862332824e-05,-2.1365812743805732e-06,-8.827399945880484e-08,-7.1063452896376315e-09,-5.806149168421036e-10,-5.771608369942233e-12
1264.739990234375,-4.136332194010417,-0.1761111111111111,-0.009047413013599535,-0.0006372463650173609,-4.3037405759709376e-05,-1.9162840457283096e-06,-1.316043164776949e-07,-1.1230051615964603e-08,-2.9839668337881993e-10,6.322613323521565e-12
1233.4200439453125,-5.825333658854166,-0.18965562608506942,-0.01307073296440972,-0.0008417402102623457,-4.080125345614713e-05,-2.4540580257630323e-06,-2.066247452542724e-07,-7.3081350886154934e-09,-4.544657330405681e-11,7.531788515946503e-12
1180.1600341796875,-5.550333658854167,-0.2664666069878472,-0.015419994212962963,-0.000829518711419753,-4.6054702570408965e-05,-3.753294056498629e-06,-1.490477399298411e-07,-2.1919947029559145e-09,-3.3444989559121414e-11,1.5852345078015186e-11
1197.6600341796875,-6.900667317708334,-0.27367770724826385,-0.015917037398726852,-0.0008434564284336419,-6.813747327514148e-05,-2.8705239210926787e-06,-5.3198867330389806e-08,-1.696608964489502e-09,1.3534937698061145e-10,2.4323865378885607e-12
1166.7099609375,-6.414998372395833,-0.30383327907986113,-0.014555180302372685,-0.0012178398980034722,-5.493583522215794e-05,-1.2356514636381179e-06,-3.1761712945101705e-08,1.3579958529211443e-09,-1.0589445494287575e-10,4.001355443744282e-12
1173.56005859375,-7.431331380208333,-0.24725545247395833,-0.020665192780671297,-0.0010472719545717593,-2.9548153975372948e-05,-5.748285992155349e-07,2.0931436113968945e-08,-2.9472037805069718e-09,-8.138555429733142e-11,-9.498266229040184e-12
1150.530029296875,-5.955330403645833,-0.3347334798177083,-0.019234818070023148,-0.000683049557532793,-1.4164215213477366e-05,3.3574794774519904e-07,-5.165936365812181e-08,-2.8509782890851234e-09,-1.8066867664990094e-10,-9.399732008850698e-12
1170.81005859375,-7.05633544921875,-0.34168891059027773,-0.014368521231192128,-0.0004031486605420523,1.8485665027006153e-06,-7.81550403485082e-07,-5.79411845475394e-08,-3.5264157849175053e-09,-2.00130391907039e-10,-3.7701646206302205e-12
1142.6199951171875,-7.67066650390625,-0.287388916015625,-0.01030260326244213,-0.00012548134886188262,-1.3327581460583847e-05,-1.0214153860168036e-06,-6.737933514267544e-08,-3.397487320018384e-09,-1.1200656008079624e-10,-2.2531759946254906e-11
1122.1400146484375,-7.450667317708334,-0.2333779568142361,-0.00578110984519676,-0.00029517309871720664,-1.9034599649562757e-05,-1.2944009411972735e-06,-4.6042957140203435e-08,-1.841330845860006e-09,-3.8974155154114576e-10,-2.747453468861665e-11
1117.5799560546875,-6.423335774739583,-0.16434448242187502,-0.007001858181423611,-0.0004014200846354165,-2.6613965446566358e-05,-4.931399498456787e-07,-1.827841341413748e-08,-6.123130599494167e-09,-4.4578113390203465e-10,-4.2658925752142805e-11
1139.8299560546875,-5.402335611979167,-0.16025566948784722,-0.008595558449074074,-0.0005791479793595677,-5.66581066743827e-06,-1.9039619770232964e-08,-8.651293844843102e-08,-6.4296761134687905e-09,-7.266068987891674e-10,-2.789857878560074e-11
1152.68994140625,-4.93800048828125,-0.1822555881076389,-0.011937780309606481,-0.00015140682267553998,2.0213889290766465e-06,-1.1079274034957989e-06,-7.821767185178036e-08,-1.125782079802764e-08,-4.892583644614802e-10,-3.00422747917778e-11
1182.1700439453125,-5.517000325520834,-0.2229112413194444,-0.005353325737847222,-3.538305965470662e-05,-1.4700807171103394e-05,-7.326753927683468e-07,-1.5361947128093558e-07,-7.353862244405865e-09,-4.900985118523122e-10,-3.95098734621485e-11
