,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,2.635820363167693e-17,6.606843560193735e-17,2.635820363167693e-17,6.606843560193735e-17
1,1,1,1,0.0030787908873845,0.0031685863969924,0.0015393954436922,0.0015842931984962,0.0030931063565312,0.0032111616191478,0.0015465531782656555,0.0016055808095739713
2,2,2,2,0.0135861097665615,0.0142877663305502,0.0055549668846487,0.0058187842425142,0.0136952055145892,0.0145120824433788,0.0055961039570401735,0.005907748020842248
3,3,3,3,0.041990198800387,0.0469241258657616,0.0146637748635832,0.016095119648326,0.0423580843093851,0.0478999002784886,0.014786599045126424,0.016405786085253844
4,4,4,4,0.0597265189222849,0.0580634630851999,0.0236763236753236,0.0244887883357008,0.0599832648246287,0.058688929592453,0.02382593220102689,0.02486241478669368
5,5,5,5,0.0683976083351543,0.0754726883563876,0.0311298711186287,0.0329861050058153,0.0686639124493291,0.0760839556018046,0.03129892890907727,0.03339933825587884
6,6,6,6,0.0968472636659795,0.1268799295300401,0.0405180700539645,0.046399508509276,0.0976102347840578,0.1279951216437362,0.04077197260550307,0.04691302159700133
7,7,7,7,0.1120760510168877,0.1389134829646605,0.0494628176743299,0.057963755316199,0.1123182084612306,0.1390975607101102,0.049715252087469006,0.058436088986139945
8,8,8,8,0.1281507060669537,0.1516025057279315,0.0582059163846215,0.0683680609175026,0.128714154653445,0.1525699437450449,0.05849290792813301,0.06889540618157383
9,9,9,9,0.174387711946499,0.2036900905080126,0.0698240959408092,0.0819002638765536,0.1746257381532737,0.202653456711549,0.07010619095064707,0.08227121123457135
10,10,10,10,0.1915749661544201,0.2146237331693317,0.0808923568693193,0.0939660338122607,0.1917108326289761,0.2136845720346701,0.08116115837594971,0.09421788039821669
11,11,11,11,0.2058424443592084,0.2295022492618226,0.0913048641601434,0.1052607184330576,0.2059232874932896,0.2291340181638611,0.09155800246906137,0.10546089187868705
12,12,12,12,0.2608262024352412,0.286455869038683,0.1043449671043817,0.1191988069411826,0.2602399965469649,0.2845515825933495,0.10453354047505396,0.11923709885673801
13,13,13,13,0.2793971303949465,0.3003012099419916,0.1168486930537077,0.1321346928698118,0.2779707707079675,0.2968396355495594,0.11692191406311922,0.13192299433479668
14,14,14,14,0.2973107587447113,0.31554191729465,0.128879497433108,0.144361841164801,0.2963358600858922,0.3135112184549053,0.12888284379797074,0.14402887594280395
15,15,15,15,0.3609226052072395,0.3722225929910723,0.1433821916689912,0.158603138153943,0.3611979759139953,0.3706802196240624,0.14340253955522228,0.15819458492288258
16,16,16,16,0.3785182731200674,0.3850177943924006,0.1572137258719957,0.1719216473444405,0.3790341546202398,0.3844697528767123,0.15726322279434096,0.1715048889201667
17,17,17,17,0.399647410141652,0.3985644682778551,0.1706822638869766,0.1845129151740746,0.4001200823464438,0.3996934851871144,0.17075527054723558,0.18418203315721934
18,18,18,18,0.4715373352509152,0.4551066724664376,0.1865167413271839,0.1987546918736727,0.4712684615433504,0.4536364281048618,0.18657175428387318,0.19836384341762156
19,19,19,19,0.4936953879528045,0.46872134055032,0.2018756736584649,0.212253024307505,0.4922843242471144,0.4642195868095782,0.20185738278203527,0.2116566305872194
20,20,20,20,0.5184348352657271,0.4864634018486022,0.2169499194492869,0.2253106613332715,0.5146738624908458,0.4785044004093851,0.21675340562531198,0.22436366724541776
21,21,21,21,0.5922688202169057,0.542508923876286,0.2340098694841787,0.2397287641761359,0.5898480295461139,0.538415748856868,0.2337122521671666,0.23863876186412003
22,22,22,22,0.6117287894017827,0.5576661255395112,0.2504324312197267,0.2535521277136739,0.6080965958164793,0.5520217454140547,0.24998983232583238,0.25226410897498674
23,23,23,23,0.6339542439438264,0.5733456272371095,0.2664125067498975,0.2668768568604837,0.62997166020004,0.5680452068249416,0.2658224084872577,0.26542165471873486
24,24,24,24,0.709309349559189,0.6360398844365167,0.2841283804622692,0.281643377963525,0.7048392595422619,0.6296908033934071,0.2833830825294579,0.2799924206657218
25,25,25,25,0.7298951694972843,0.6488650669663258,0.3012732569636159,0.2957672890790174,0.7252265948884061,0.6440967945960804,0.3003770637740328,0.29399643504765866
26,26,26,26,0.7533925445989005,0.6667515882920089,0.3180184157649228,0.3095074483091282,0.746797641202086,0.6609751623459144,0.31691115923433105,0.30758823976240884
27,27,27,27,0.8285658808443894,0.7264098533741367,0.3362522538034751,0.3243968199185927,0.8218173938641994,0.7223206867304168,0.33494352475682637,0.32240011286840914
28,28,28,28,0.8505949584331506,0.7374223743226729,0.3539882091355329,0.3386390804152852,0.8449116200613657,0.736433327798839,0.3525286314914656,0.33667712027980323
29,29,29,29,0.8765568478254786,0.7511653665409407,0.371407163758531,0.3523899566194737,0.8735306174762651,0.7556770825031055,0.3698953643576256,0.35064378568724663
30,30,30,30,0.9589183454501942,0.8069793034064526,0.3903591373614879,0.367054129096473,0.9539520370906162,0.8095117947102237,0.3887359021877221,0.3654459795266975
31,31,31,31,0.97916010247865,0.8183558061635212,0.4087591675213992,0.3811573065048182,0.975788468868936,0.8248335981474104,0.40708129489651,0.3798018426085948
32,32,32,32,1.004810934395871,0.8367766265261508,0.4268213422751711,0.3949639525660707,1.000444531954715,0.8401510905824716,0.425061999049789,0.3937518198199244
33,33,33,33,1.088700549783789,0.8934051730232421,0.4462883777901305,0.4096239884618699,1.0856745307860098,0.9018354193832157,0.4444917793949719,0.4086954551011977
34,34,34,34,1.1098632481016693,0.9070933091067964,0.4652476597990316,0.4238373976231535,1.1061231448355828,0.917880615184934,0.46339553269327505,0.4232436025321616
35,35,35,35,1.1359920362637863,0.9254501317768874,0.4838794480341637,0.4377710846829795,1.1298007356585549,0.9331940296457092,0.48190678833119954,0.43740889217420453
