,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,1.0057624020367604e-17,3.4254660500081467e-17,1.0057624020367603e-17,3.425466050008147e-17
1,1,1,1,0.0072004287132315,0.0083680573997861,0.0036002143566157,0.004184028699893,0.0072533600328512,0.0085716886622299,0.0036266800164256167,0.004285844331115001
2,2,2,2,0.0077885545513499,0.0073563607651469,0.0049963277548605,0.0052414727216443,0.0077605559684379,0.0072959363110158,0.00500463866709638,0.005289208324415296
3,3,3,3,0.0399695975472895,0.0448169634486466,0.0137396452029677,0.0151353454033949,0.0397498391184294,0.0444559292305351,0.013690938779929655,0.015080888550945262
4,4,4,4,0.3987235946970394,0.4341932626060072,0.0907364351017821,0.0989469288439173,0.396207532131879,0.4299780370106217,0.09019425745031953,0.09806031824288056
5,5,5,5,0.4015922743474337,0.4342716692716557,0.142545741642724,0.1548343855818737,0.3996891384949657,0.4326331731255424,0.14177673762442722,0.1538224607233242
6,6,6,6,0.396279839917492,0.4282727113457382,0.1787934699676909,0.1938970035481401,0.3936981518580654,0.421246358351113,0.17776551108637553,0.19202587467015117
7,7,7,7,0.4402475445494815,0.4592811211212312,0.2114752292904147,0.2270700182447765,0.4352978072513136,0.4469654724389006,0.20995704810699278,0.22389332439124487
8,8,8,8,0.8942050975991306,0.7877685580664009,0.2873341035469387,0.2893698560027348,0.8869372117594873,0.7720453205565591,0.2851770662906033,0.2847991017429464
9,9,9,9,0.8918718719753087,0.7873990282983859,0.3477878803897757,0.3391727732322999,0.8880518046219424,0.7804370728905196,0.3454645401237372,0.33436289885770376
10,10,10,10,0.8915585441205374,0.7878222718204211,0.3972215770925722,0.3799590912857655,0.8876328669714273,0.7800268302212204,0.3947525698371636,0.37487780170893253
11,11,11,11,0.9309595022483674,0.8107889189106517,0.4416997375222218,0.4158615769211727,0.924473475496522,0.7959447836617475,0.4388959786421101,0.40996671687166714
12,12,12,12,1.3566657446324764,1.089950267663956,0.5120817380691645,0.467714553132156,1.3393249564722105,1.0478219643519744,0.5081597461675025,0.45903250513938304
13,13,13,13,1.3544286601563968,1.0878933060701037,0.5722493753611096,0.5120130354848665,1.3391091005077485,1.052087200761351,0.5675132714775201,0.5013935548266665
14,14,14,14,1.3542931464346042,1.0925394116463625,0.6243856267660093,0.5507147938956329,1.3373137098380452,1.0585003460475335,0.6188333007015551,0.5385340075747244
15,15,15,15,1.3886385491615991,1.112761822619569,0.6721514344157336,0.585842733190879,1.3710913509977871,1.07983263839145,0.6658494288450696,0.5723651720007696
16,16,16,16,1.7850846568637768,1.367027967051703,0.7376180945597361,0.6317948057709275,1.7632811924770884,1.318844966704898,0.7304042384704824,0.616275748159836
17,17,17,17,1.7791358840606917,1.3622802346129417,0.7954801939764559,0.6723773295954838,1.7542628589840072,1.299786585663697,0.787285272943456,0.654248572465606
18,18,18,18,1.776479506539758,1.3623812662926449,0.8471117367429455,0.7086933262637555,1.746148858807422,1.2895059013342205,0.8377517774626121,0.6876831687218489
19,19,19,19,1.812933703582828,1.389200411083872,0.8954028350849397,0.7427186805047612,1.776853262161693,1.3113329804707257,0.884706851697566,0.7188656593092927
20,20,20,20,2.194652442787709,1.631899494643621,0.9572718640231668,0.7850606240351832,2.1556456692809864,1.5484514474257207,0.945227747772967,0.758369744457694
21,21,21,21,2.18937741321385,1.6256291638996334,1.0132766617136524,0.8232682849381128,2.154191756338559,1.5419141189896388,1.0001806572532213,0.7939853978455097
22,22,22,22,2.187118297615544,1.6251475709659555,1.0643132545789522,0.8581326017219321,2.147227012916894,1.5336554904569992,1.0500522379342505,0.8261449670894876
23,23,23,23,2.221133417117496,1.6475638167667026,1.1125140946847247,0.8910255690154641,2.183889953787956,1.5643085671069326,1.0972954760948215,0.856901783756881
24,24,24,24,2.593955218475171,1.8849275876936773,1.1717717396363423,0.9307816497625928,2.5446420718430343,1.7618978889961572,1.1551893399247501,0.893101627966452
25,25,25,25,2.5909632755510885,1.883981348490012,1.2263560294792175,0.9674431766367242,2.536331484757074,1.7621602993014789,1.2083101916490704,0.9265269614793377
26,26,26,26,2.5902321089540576,1.8863223085165888,1.276869958348656,1.001475737076719,2.5296634914879577,1.7521557006290456,1.2572492027542141,0.9571058036700676
27,27,27,27,2.623567479546592,1.906203336318835,1.3249662983914394,1.033787437049652,2.5559457858737837,1.7618084303870971,1.303631223579913,0.9858451831956758
28,28,28,28,2.987732008856065,2.1339433925663025,1.3823030470281503,1.0717238493088468,2.908828769798306,1.9584857772954547,1.3589828631046852,1.0193845140267026
29,29,29,29,2.9827870985992058,2.1308045246093674,1.4356525154138524,1.107026538485531,2.9068538898153893,1.964636035958824,1.410578563995042,1.0508928980911068
30,30,30,30,2.980246776392395,2.130553179361021,1.4854781367357408,1.1400435269008693,2.9031333121158323,1.9646775887256436,1.458725491353777,1.0803698235954466
31,31,31,31,3.011819151643246,2.152146510612026,1.5331762934516002,1.171671745141843,2.930289317200464,1.9767696270420887,1.504711860911486,1.1083823174531542
32,32,32,32,3.3733987579672213,2.3800262604338966,1.5889406105581343,1.2082885486355417,3.2771334990612315,2.163843934332199,1.5584216075220843,1.1403660028131253
33,33,33,33,3.3679106030006527,2.377093588941211,1.6412632573946788,1.242665167468061,3.2628606096934725,2.1407230693772203,1.608552166409478,1.1697882694767752
34,34,34,34,3.366961438540821,2.37857693842012,1.6905689197131402,1.2751197894952628,3.2560458261197613,2.1491726142494096,1.6556234138297716,1.1977706793274219
35,35,35,35,3.399706914401632,2.399082044206941,1.7380449751211535,1.306340963237254,3.28707894659484,2.1516582190933105,1.7009416230732457,1.22426755543203
