,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,relative_change_accuracies,relative_change_errs,mean_relative_change_accuracies,mean_relative_change_errs,value_accuracies,value_errs,mean_value_accuracies,mean_value_errs
0,0,0,0,0.0,0.0,0.0,0.0,9.029432015649357e-18,3.303824398903589e-17,9.029432015649357e-18,3.303824398903589e-17
1,1,1,1,0.0005936474755782,0.0007042849650855,0.0002968237377891,0.0003521424825427,0.0005925327645002,0.0007034987223497,0.0002962663822501265,0.0003517493611748826
2,2,2,2,0.0078419299591342,0.0072886298659642,0.0028118591449041,0.0026643049436832,0.0078551014754729,0.0073881104904743,0.0028158780799910706,0.002697203070941375
3,3,3,3,0.0126336570707084,0.0112521080151735,0.0052673086263552,0.0048112557115558,0.0126610837937307,0.0113280834010839,0.005277179508425979,0.004854923153477013
4,4,4,4,0.0177063777477713,0.0163790630053962,0.0077551224506384,0.0071248171703239,0.0177365888889951,0.0165810235168679,0.007769061384539816,0.007200143226155207
5,5,5,5,0.0233302599134336,0.0217726419434233,0.0103509786944376,0.0095661212991738,0.0233769366675279,0.0221751167381529,0.010370373931704506,0.0096959721448215
6,6,6,6,0.0291138516980103,0.0248000181115364,0.0130313891235194,0.0117423922723684,0.029017604282293,0.0247844417069219,0.01303426398178858,0.01185146779655013
7,7,7,7,0.0334075738756684,0.0272823818268506,0.015578412217538,0.0136848909666787,0.0332874003281309,0.0273179161110146,0.015565906025081379,0.01378477383585819
8,8,8,8,0.0385820940163947,0.0342317386969926,0.0181343768618555,0.0159678740478247,0.0385987968835486,0.0347799523411859,0.01812511612046663,0.016117571447561277
9,9,9,9,0.0445436117036889,0.0404185554518772,0.0207753003460388,0.01841294218823,0.0447694050760799,0.0418376722038284,0.020789545016027967,0.018689581523187993
10,10,10,10,0.0480675388597734,0.0428939007292896,0.0232564129381965,0.0206384838737808,0.0481280431223777,0.0434440766738001,0.023274863025696126,0.02093999017324364
11,11,11,11,0.0539673816930336,0.0475594594969463,0.0258156603344329,0.0228818985090446,0.0542335205019949,0.0488843911340476,0.025854751148721027,0.023268690253310645
12,12,12,12,0.0594614691198273,0.0531384097606844,0.0284037994717709,0.0252093224514784,0.0600434206784738,0.0556410254876796,0.028484648804855864,0.025758869886723643
13,13,13,13,0.0627575241725448,0.0563647881683542,0.0308576369503976,0.0274347128598267,0.0632031889693312,0.0581281416012086,0.030964544530889815,0.028070960723472576
14,14,14,14,0.0668133528066835,0.0611459821981929,0.03325468467415,0.0296821308157178,0.0674805925278962,0.0643170264659911,0.03339894773069025,0.03048736510630715
15,15,15,15,0.0719520167160975,0.067370160018757,0.0356732679267718,0.0320376326409077,0.0730187120291299,0.0728867920810537,0.035875182999342725,0.03313732929222881
16,16,16,16,0.0746897669221457,0.0675082818504014,0.0379683561029702,0.0341241414179368,0.0754419323869302,0.0712329322172285,0.0382026388456714,0.03537824711134645
17,17,17,17,0.0783278585240797,0.0708044926257641,0.0402105506819207,0.0361619387072605,0.079125569761853,0.0746551670534035,0.04047613500768149,0.0375602982192385
18,18,18,18,0.0819721531789872,0.0747911497681662,0.0424085297607137,0.0381950550788871,0.0831348911735717,0.0793620532829918,0.04272133270062308,0.039760390591014994
19,19,19,19,0.084902578947182,0.0756314904361342,0.0445332322200371,0.0400668768467495,0.0859349118358331,0.079328180027824,0.044882011657383585,0.041738780062855446
20,20,20,20,0.0865221197414874,0.0797775058208061,0.0465327030543919,0.0419578591788474,0.0880454345470334,0.0854967512576732,0.046937412747366916,0.04382249297689439
21,21,21,21,0.0890043273012055,0.0862285029631164,0.0484632314292471,0.0439701611690415,0.090902394605792,0.0932610860251528,0.04893582101365897,0.04606970175181522
22,22,22,22,0.0894729072015797,0.0866694316544471,0.0502462608106528,0.0458266511901461,0.090743360238634,0.0920903239851604,0.05075354011039702,0.04807059837065632
23,23,23,23,0.0913863870925324,0.0864694604978191,0.0519604327390645,0.0475201015779658,0.0921602003898813,0.0893979429642969,0.0524788176220422,0.04979257106205801
24,24,24,24,0.0947685588043761,0.0913839149325491,0.0536727577816769,0.0492746541121491,0.096002700003263,0.0956065250565814,0.054219772917291034,0.05162512922183895
25,25,25,25,0.0964201771377553,0.0909646297085279,0.0553168892953723,0.0508781147120098,0.0969588465850866,0.0929414125087565,0.05586358344297548,0.053214217040566544
26,26,26,26,0.100775236680305,0.0930581596052708,0.0570005317911105,0.0524403385969454,0.1010571092830486,0.0941290371749894,0.057537417733348556,0.05472958074924888
27,27,27,27,0.103298589971878,0.0967973783008227,0.0586540338689951,0.0540245185863696,0.1032906925552875,0.0976035261115962,0.05917146326270351,0.05626079308361842
28,28,28,28,0.1063921372398937,0.0994205822575916,0.0603001753645433,0.0555899000922738,0.106354716056163,0.0998467024791012,0.06079847197971936,0.057763755476566106
29,29,29,29,0.1089703041301531,0.1033122251356883,0.0619225129900636,0.0571806442603876,0.1093424659748,0.1050693148655121,0.06241660511288872,0.05934060745619764
30,30,30,30,0.1123908007795878,0.1067822752427284,0.0635505222735967,0.0587806968727212,0.112637654928897,0.1080522052817712,0.06403663897792125,0.06091194932153872
31,31,31,31,0.1157567789455471,0.1099483188838192,0.0651819677945951,0.060379685060568,0.1161361660824418,0.1118918537855764,0.06566474919993752,0.0625050713360399
32,32,32,32,0.1166888371888765,0.1117662710128879,0.0667427820186642,0.0619368543318504,0.1165995214588122,0.1120585155018619,0.06720822714717614,0.06400669085621633
33,33,33,33,0.11791572747228,0.1133086256174326,0.0682478686496529,0.0634477887814264,0.1172159243718573,0.1123203537800571,0.06867904177143147,0.06542768094221164
34,34,34,34,0.1200216996321748,0.1173368869671813,0.0697271209634393,0.0649874773010194,0.1196715798276909,0.1172963164105862,0.07013597143018174,0.06690964195559378
35,35,35,35,0.1221386402911569,0.1200564706821206,0.0711829965003203,0.0665171715616055,0.1218195319738148,0.1200870969070356,0.0715716258897271,0.06838679348202271
