Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,33047.5,33143.51953125,32911.76171875,33142.19921875,33142.19921875,0
2020-01-03,33142.19921875,33142.19921875,32799.16015625,32943.328125,32943.328125,0
2020-01-06,32740.48046875,33065.6015625,32736.859375,33065.140625,33065.140625,0
2020-01-07,33065.140625,33065.140625,32931.1484375,32988.51953125,32988.51953125,0
2020-01-08,32988.51953125,33270.76953125,32981.1484375,33134.98828125,33134.98828125,0
2020-01-09,33134.98828125,33347.171875,33134.98828125,33333.2109375,33333.2109375,0
2020-01-10,33333.2109375,33407.828125,33192.01171875,33237.1484375,33237.1484375,0
2020-01-13,33237.1484375,33487.08984375,33237.1484375,33487.08984375,33487.08984375,0
2020-01-14,33487.08984375,33588.671875,33393.421875,33469.83984375,33469.83984375,0
2020-01-15,33469.83984375,33640.19921875,33447.83984375,33534.1484375,33534.1484375,0
2020-01-16,33534.1484375,33828.8203125,33534.1484375,33827.73828125,33827.73828125,0
2020-01-17,33827.73828125,33918.3203125,33826.23046875,33917.37890625,33917.37890625,0
2020-01-21,33817.5703125,33912.0703125,33774.30859375,33817.58984375,33817.58984375,0
2020-01-22,33817.58984375,34000.41015625,33806.98046875,33828.62890625,33828.62890625,0
2020-01-23,33769.3515625,33883.5390625,33617.140625,33862.46875,33862.46875,0
2020-01-24,33862.46875,33944.48046875,33390.890625,33539.55859375,33539.55859375,0
2020-01-27,32937.25,33175.26171875,32919.23046875,33028.76171875,33028.76171875,0
2020-01-28,33180.2890625,33447.03125,33138.44140625,33357.51953125,33357.51953125,0
2020-01-29,33357.51953125,33519.2890625,33307.0390625,33322.078125,33322.078125,0
2020-01-30,33098.171875,33435.91015625,33010.578125,33418.1484375,33418.1484375,0
2020-01-31,33380.078125,33380.078125,32742.01953125,32838.19140625,32838.19140625,0
2020-02-03,32939.1015625,33272.890625,32939.1015625,33099.01953125,33099.01953125,0
2020-02-04,33424.44921875,33710.671875,33424.44921875,33609.6796875,33609.6796875,0
2020-02-05,33866.5703125,33953.44140625,33732.890625,33923.80078125,33923.80078125,0
2020-02-06,34019.73046875,34049.0390625,33921.7109375,34012.2109375,34012.2109375,0
2020-02-07,33912.51953125,33958.76953125,33766.33984375,33827.98046875,33827.98046875,0
2020-02-10,33753.421875,34070.5390625,33753.421875,34070.1796875,34070.1796875,0
2020-02-11,34227.53125,34340.73046875,34118.44140625,34170.94921875,34170.94921875,0
2020-02-12,34304.2109375,34420.55859375,34289.33984375,34403.23828125,34403.23828125,0
2020-02-13,34263.83984375,34474.0,34210.890625,34369.8515625,34369.8515625,0
2020-02-14,34409.80859375,34440.91015625,34295.48828125,34428.33984375,34428.33984375,0
2020-02-18,34333.48828125,34403.2890625,34205.66015625,34363.171875,34363.171875,0
2020-02-19,34474.2890625,34616.78125,34469.7890625,34533.94140625,34533.94140625,0
2020-02-20,34476.98046875,34587.46875,34093.37890625,34434.66015625,34434.66015625,0
2020-02-21,34314.2890625,34314.2890625,33974.2109375,34066.28125,34066.28125,0
2020-02-24,33256.48828125,33256.48828125,32806.16015625,32937.51953125,32937.51953125,0
2020-02-25,32937.51953125,33138.37890625,31837.55078125,31921.689453125,31921.689453125,0
2020-02-26,32038.55078125,32431.5390625,31675.099609375,31741.7890625,31741.7890625,0
2020-02-27,31204.5703125,31562.650390625,30378.08984375,30385.630859375,30385.630859375,0
2020-02-28,29805.5703125,30177.73046875,29146.0,30125.0703125,30125.0703125,0
2020-03-02,30321.91015625,31418.330078125,30007.560546875,31416.390625,31416.390625,0
2020-03-03,31487.810546875,31887.439453125,30288.9609375,30571.009765625,30571.009765625,0
2020-03-04,30990.919921875,31789.349609375,30869.189453125,31783.779296875,31783.779296875,0
2020-03-05,31258.58984375,31300.189453125,30472.330078125,30719.900390625,30719.900390625,0
2020-03-06,30042.33984375,30283.240234375,29465.25,30157.91015625,30157.91015625,0
2020-03-09,29008.900390625,29008.900390625,27684.029296875,27774.990234375,27774.990234375,0
2020-03-10,28441.619140625,29088.23046875,27600.939453125,29088.029296875,29088.029296875,0
2020-03-11,28516.630859375,28516.630859375,27262.80078125,27598.91015625,27598.91015625,0
2020-03-12,26478.30078125,26655.08984375,24901.33984375,24909.109375,24909.109375,0
2020-03-13,25782.41015625,27142.669921875,24961.55078125,27142.669921875,27142.669921875,0
2020-03-16,25997.720703125,25997.720703125,23768.51953125,23818.44921875,23818.44921875,0
2020-03-17,24200.330078125,25425.94921875,23554.490234375,25182.900390625,25182.900390625,0
2020-03-18,24269.509765625,24391.080078125,22602.80078125,23731.69921875,23731.69921875,0
2020-03-19,23682.390625,24577.380859375,23000.30078125,24064.359375,24064.359375,0
2020-03-20,24287.19921875,24576.23046875,22999.66015625,23082.44921875,23082.44921875,0
2020-03-23,22988.330078125,23042.9609375,21955.5390625,22465.140625,22465.140625,0
2020-03-24,23501.310546875,24555.220703125,23501.310546875,24542.51953125,24542.51953125,0
2020-03-25,24665.66015625,25839.01953125,24193.880859375,24878.580078125,24878.580078125,0
2020-03-26,24878.580078125,26441.080078125,24878.580078125,26385.400390625,26385.400390625,0
2020-03-27,25666.2890625,26212.890625,25266.2109375,25500.5703125,25500.5703125,0
2020-03-30,25653.390625,26317.9609375,25469.529296875,26275.33984375,26275.33984375,0
2020-03-31,26163.58984375,26431.890625,25733.8203125,25899.9296875,25899.9296875,0
2020-04-01,25120.130859375,25248.44921875,24496.119140625,24711.150390625,24711.150390625,0
2020-04-02,24583.099609375,25328.720703125,24558.33984375,25199.640625,25199.640625,0
2020-04-03,25094.83984375,25294.810546875,24461.2890625,24736.259765625,24736.259765625,0
2020-04-06,25607.4609375,26647.26953125,25607.4609375,26532.080078125,26532.080078125,0
2020-04-07,27252.380859375,27451.189453125,26513.66015625,26522.189453125,26522.189453125,0
2020-04-08,26799.25,27549.8203125,26582.130859375,27457.05078125,27457.05078125,0
2020-04-09,27768.830078125,28217.94921875,27641.0,27938.9296875,27938.9296875,0
2020-04-13,27875.509765625,27875.509765625,27233.439453125,27647.759765625,27647.759765625,0
2020-04-14,28117.220703125,28517.400390625,28114.759765625,28477.369140625,28477.369140625,0
2020-04-15,28031.419921875,28031.419921875,27615.109375,27837.8203125,27837.8203125,0
2020-04-16,27982.73046875,28056.029296875,27635.439453125,27984.94921875,27984.94921875,0
2020-04-17,28444.890625,28806.0703125,28344.0703125,28760.23046875,28760.23046875,0
2020-04-20,28442.26953125,28742.259765625,28239.66015625,28286.05078125,28286.05078125,0
2020-04-21,27907.919921875,27919.509765625,27317.810546875,27433.69921875,27433.69921875,0
2020-04-22,27956.26953125,28197.2890625,27829.439453125,28061.359375,28061.359375,0
2020-04-23,28171.689453125,28550.890625,28053.919921875,28096.7890625,28096.7890625,0
2020-04-24,28245.560546875,28548.080078125,28032.380859375,28483.890625,28483.890625,0
2020-04-27,28660.5,29084.859375,28660.5,28990.130859375,28990.130859375,0
2020-04-28,29323.25,29447.779296875,28823.3203125,28876.23046875,28876.23046875,0
2020-04-29,29393.720703125,29871.560546875,29381.94921875,29719.01953125,29719.01953125,0
2020-04-30,29667.349609375,29667.349609375,29207.4296875,29365.490234375,29365.490234375,0
2020-05-01,28914.58984375,28914.58984375,28383.759765625,28500.609375,28500.609375,0
2020-05-04,28325.470703125,28646.029296875,28153.9609375,28643.630859375,28643.630859375,0
2020-05-05,28981.439453125,29231.94921875,28861.919921875,28909.880859375,28909.880859375,0
2020-05-06,29057.439453125,29147.41015625,28734.349609375,28736.48046875,28736.48046875,0
2020-05-07,29028.470703125,29317.75,29028.470703125,29113.759765625,29113.759765625,0
2020-05-08,29404.2109375,29683.810546875,29350.94921875,29670.6796875,29670.6796875,0
2020-05-11,29532.009765625,29824.44921875,29393.669921875,29667.720703125,29667.720703125,0
2020-05-12,29771.66015625,29834.150390625,29027.6796875,29027.83984375,29027.83984375,0
